Date,Hour,Demand
1/17/2017,13,153
1/17/2017,14,81
1/17/2017,15,115
1/17/2017,16,339
1/17/2017,17,712
1/17/2017,18,685
1/17/2017,19,420
1/17/2017,20,300
1/17/2017,21,188
1/17/2017,22,100
1/17/2017,23,57
1/18/2017,0,16
1/18/2017,1,8
1/18/2017,2,6
1/18/2017,3,6
1/18/2017,4,4
1/18/2017,5,58
1/18/2017,6,211
1/18/2017,7,561
1/18/2017,8,923
1/18/2017,9,421
1/18/2017,10,250
1/18/2017,11,267
1/18/2017,12,365
1/18/2017,13,328
1/18/2017,14,287
1/18/2017,15,350
1/18/2017,16,475
1/18/2017,17,869
1/18/2017,18,737
1/18/2017,19,481
1/18/2017,20,307
1/18/2017,21,225
1/18/2017,22,129
1/18/2017,23,61
1/19/2017,0,34
1/19/2017,1,14
1/19/2017,2,10
1/19/2017,4,5
1/19/2017,5,49
1/19/2017,6,166
1/19/2017,7,462
1/19/2017,8,731
1/19/2017,9,432
1/19/2017,10,248
1/19/2017,11,290
1/19/2017,12,399
1/19/2017,13,369
1/19/2017,14,363
1/19/2017,15,461
1/19/2017,16,524
1/19/2017,17,793
1/19/2017,18,707
1/19/2017,19,469
1/19/2017,20,295
1/19/2017,21,271
1/19/2017,22,191
1/19/2017,23,93
1/20/2017,0,79
1/20/2017,1,52
1/20/2017,2,31
1/20/2017,3,19
1/20/2017,4,18
1/20/2017,5,59
1/20/2017,6,95
1/20/2017,7,178
1/20/2017,8,282
1/20/2017,9,269
1/20/2017,10,361
1/20/2017,11,409
1/20/2017,12,392
1/20/2017,13,443
1/20/2017,14,418
1/20/2017,15,357
1/20/2017,16,409
1/20/2017,17,399
1/20/2017,18,336
1/20/2017,19,291
1/20/2017,20,232
1/20/2017,21,177
1/20/2017,22,139
1/20/2017,23,121
1/21/2017,0,97
1/21/2017,1,62
1/21/2017,2,36
1/21/2017,3,9
1/21/2017,4,8
1/21/2017,5,20
1/21/2017,6,49
1/21/2017,7,159
1/21/2017,8,533
1/21/2017,9,834
1/21/2017,10,660
1/21/2017,11,527
1/21/2017,12,588
1/21/2017,13,549
1/21/2017,14,713
1/21/2017,15,817
1/21/2017,16,774
1/21/2017,17,525
1/21/2017,18,353
1/21/2017,19,241
1/21/2017,20,188
1/21/2017,21,158
1/21/2017,22,140
1/21/2017,23,117
1/22/2017,0,97
1/22/2017,1,78
1/22/2017,2,40
1/22/2017,3,17
1/22/2017,4,4
1/22/2017,5,4
1/22/2017,6,12
1/22/2017,7,40
1/22/2017,8,96
1/22/2017,9,221
1/22/2017,10,344
1/22/2017,11,450
1/22/2017,12,537
1/22/2017,13,555
1/22/2017,14,447
1/22/2017,15,153
1/22/2017,16,229
1/22/2017,17,199
1/22/2017,18,155
1/22/2017,19,140
1/22/2017,20,77
1/22/2017,21,78
1/22/2017,22,69
1/22/2017,23,24
1/23/2017,0,19
1/23/2017,1,7
1/23/2017,2,4
1/23/2017,3,0
1/23/2017,4,3
1/23/2017,5,38
1/23/2017,6,124
1/23/2017,7,220
1/23/2017,8,287
1/23/2017,9,141
1/23/2017,10,56
1/23/2017,11,54
1/23/2017,12,57
1/23/2017,13,40
1/23/2017,14,43
1/23/2017,15,88
1/23/2017,16,173
1/23/2017,17,450
1/23/2017,18,427
1/23/2017,19,272
1/23/2017,20,174
1/23/2017,21,125
1/23/2017,22,70
1/23/2017,23,29
1/24/2017,0,13
1/24/2017,1,10
1/24/2017,2,2
1/24/2017,4,5
1/24/2017,5,56
1/24/2017,6,223
1/24/2017,7,606
1/24/2017,8,951
1/24/2017,9,427
1/24/2017,10,218
1/24/2017,11,241
1/24/2017,12,253
1/24/2017,13,268
1/24/2017,14,224
1/24/2017,15,328
1/24/2017,16,560
1/24/2017,17,933
1/24/2017,18,835
1/24/2017,19,494
1/24/2017,20,333
1/24/2017,21,219
1/24/2017,22,132
1/24/2017,23,58
1/25/2017,0,17
1/25/2017,1,7
1/25/2017,2,5
1/25/2017,4,9
1/25/2017,5,85
1/25/2017,6,261
1/25/2017,7,737
1/25/2017,8,1083
1/25/2017,9,444
1/25/2017,10,194
1/25/2017,11,273
1/25/2017,12,342
1/25/2017,13,357
1/25/2017,14,363
1/25/2017,15,486
1/25/2017,16,699
1/25/2017,17,1231
1/25/2017,18,949
1/25/2017,19,598
1/25/2017,20,353
1/25/2017,21,270
1/25/2017,22,176
1/25/2017,23,84
1/26/2017,0,19
1/26/2017,1,10
1/26/2017,2,9
1/26/2017,3,6
1/26/2017,4,10
1/26/2017,5,58
1/26/2017,6,244
1/26/2017,7,697
1/26/2017,8,1131
1/26/2017,9,499
1/26/2017,10,217
1/26/2017,11,279
1/26/2017,12,360
1/26/2017,13,314
1/26/2017,14,307
1/26/2017,15,373
1/26/2017,16,520
1/26/2017,17,974
1/26/2017,18,784
1/26/2017,19,483
1/26/2017,20,346
1/26/2017,21,197
1/26/2017,22,138
1/26/2017,23,73
1/27/2017,0,25
1/27/2017,1,19
1/27/2017,2,2
1/27/2017,3,1
1/27/2017,4,7
1/27/2017,5,63
1/27/2017,6,182
1/27/2017,7,597
1/27/2017,8,954
1/27/2017,9,474
1/27/2017,10,230
1/27/2017,11,249
1/27/2017,12,333
1/27/2017,13,323
1/27/2017,14,251
1/27/2017,15,375
1/27/2017,16,556
1/27/2017,17,860
1/27/2017,18,582
1/27/2017,19,307
1/27/2017,20,185
1/27/2017,21,124
1/27/2017,22,120
1/27/2017,23,68
1/28/2017,0,59
1/28/2017,1,45
1/28/2017,2,30
1/28/2017,3,16
1/28/2017,4,12
1/28/2017,5,5
1/28/2017,6,14
1/28/2017,7,64
1/28/2017,8,139
1/28/2017,9,257
1/28/2017,10,337
1/28/2017,11,391
1/28/2017,12,484
1/28/2017,13,493
1/28/2017,14,546
1/28/2017,15,555
1/28/2017,16,555
1/28/2017,17,439
1/28/2017,18,342
1/28/2017,19,270
1/28/2017,20,149
1/28/2017,21,139
1/28/2017,22,134
1/28/2017,23,80
1/29/2017,0,70
1/29/2017,1,61
1/29/2017,2,48
1/29/2017,3,26
1/29/2017,4,9
1/29/2017,5,6
1/29/2017,6,9
1/29/2017,7,33
1/29/2017,8,97
1/29/2017,9,165
1/29/2017,10,342
1/29/2017,11,382
1/29/2017,12,638
1/29/2017,13,530
1/29/2017,14,480
1/29/2017,15,584
1/29/2017,16,587
1/29/2017,17,387
1/29/2017,18,251
1/29/2017,19,199
1/29/2017,20,147
1/29/2017,21,102
1/29/2017,22,65
1/29/2017,23,32
1/30/2017,0,15
1/30/2017,1,12
1/30/2017,2,5
1/30/2017,4,5
1/30/2017,5,49
1/30/2017,6,153
1/30/2017,7,385
1/30/2017,8,698
1/30/2017,9,316
1/30/2017,10,151
1/30/2017,11,147
1/30/2017,12,183
1/30/2017,13,191
1/30/2017,14,148
1/30/2017,15,210
1/30/2017,16,374
1/30/2017,17,793
1/30/2017,18,660
1/30/2017,19,425
1/30/2017,20,251
1/30/2017,21,145
1/30/2017,22,71
1/30/2017,23,33
1/31/2017,0,20
1/31/2017,1,7
1/31/2017,2,5
1/31/2017,3,4
1/31/2017,4,7
1/31/2017,5,58
1/31/2017,6,226
1/31/2017,7,572
1/31/2017,8,936
1/31/2017,9,447
1/31/2017,10,239
1/31/2017,11,224
1/31/2017,12,310
1/31/2017,13,247
1/31/2017,14,234
1/31/2017,15,380
1/31/2017,16,597
1/31/2017,17,1060
1/31/2017,18,875
1/31/2017,19,498
1/31/2017,20,365
1/31/2017,21,249
1/31/2017,22,151
1/31/2017,23,53
2/1/2017,0,27
2/1/2017,1,10
2/1/2017,2,9
2/1/2017,3,3
2/1/2017,4,6
2/1/2017,5,92
2/1/2017,6,250
2/1/2017,7,683
2/1/2017,8,1119
2/1/2017,9,485
2/1/2017,10,230
2/1/2017,11,271
2/1/2017,12,297
2/1/2017,13,281
2/1/2017,14,225
2/1/2017,15,323
2/1/2017,16,589
2/1/2017,17,1139
2/1/2017,18,824
2/1/2017,19,517
2/1/2017,20,343
2/1/2017,21,237
2/1/2017,22,187
2/1/2017,23,84
2/2/2017,0,25
2/2/2017,1,13
2/2/2017,2,0
2/2/2017,3,5
2/2/2017,4,8
2/2/2017,5,55
2/2/2017,6,251
2/2/2017,7,704
2/2/2017,8,1109
2/2/2017,9,478
2/2/2017,10,199
2/2/2017,11,226
2/2/2017,12,301
2/2/2017,13,309
2/2/2017,14,251
2/2/2017,15,369
2/2/2017,16,553
2/2/2017,17,954
2/2/2017,18,758
2/2/2017,19,415
2/2/2017,20,280
2/2/2017,21,200
2/2/2017,22,125
2/2/2017,23,59
2/3/2017,0,50
2/3/2017,1,16
2/3/2017,2,5
2/3/2017,3,1
2/3/2017,4,6
2/3/2017,5,54
2/3/2017,6,187
2/3/2017,7,530
2/3/2017,8,916
2/3/2017,9,472
2/3/2017,10,221
2/3/2017,11,265
2/3/2017,12,301
2/3/2017,13,305
2/3/2017,14,268
2/3/2017,15,360
2/3/2017,16,487
2/3/2017,17,776
2/3/2017,18,548
2/3/2017,19,306
2/3/2017,20,182
2/3/2017,21,134
2/3/2017,22,87
2/3/2017,23,66
2/4/2017,0,49
2/4/2017,1,33
2/4/2017,2,6
2/4/2017,3,9
2/4/2017,4,6
2/4/2017,5,9
2/4/2017,6,19
2/4/2017,7,68
2/4/2017,8,141
2/4/2017,9,251
2/4/2017,10,260
2/4/2017,11,373
2/4/2017,12,413
2/4/2017,13,447
2/4/2017,14,491
2/4/2017,15,478
2/4/2017,16,466
2/4/2017,17,371
2/4/2017,18,259
2/4/2017,19,201
2/4/2017,20,166
2/4/2017,21,105
2/4/2017,22,113
2/4/2017,23,73
2/5/2017,0,57
2/5/2017,1,50
2/5/2017,2,37
2/5/2017,3,17
2/5/2017,4,6
2/5/2017,5,8
2/5/2017,6,16
2/5/2017,7,50
2/5/2017,8,112
2/5/2017,9,180
2/5/2017,10,355
2/5/2017,11,426
2/5/2017,12,505
2/5/2017,13,516
2/5/2017,14,518
2/5/2017,15,562
2/5/2017,16,521
2/5/2017,17,524
2/5/2017,18,335
2/5/2017,19,143
2/5/2017,20,105
2/5/2017,21,90
2/5/2017,22,256
2/5/2017,23,100
2/6/2017,0,22
2/6/2017,1,10
2/6/2017,2,16
2/6/2017,3,8
2/6/2017,4,6
2/6/2017,5,56
2/6/2017,6,193
2/6/2017,7,573
2/6/2017,8,1161
2/6/2017,9,449
2/6/2017,10,203
2/6/2017,11,264
2/6/2017,12,311
2/6/2017,13,331
2/6/2017,14,304
2/6/2017,15,408
2/6/2017,16,644
2/6/2017,17,1204
2/6/2017,18,933
2/6/2017,19,539
2/6/2017,20,334
2/6/2017,21,233
2/6/2017,22,145
2/6/2017,23,52
2/7/2017,0,14
2/7/2017,1,9
2/7/2017,3,3
2/7/2017,4,5
2/7/2017,5,69
2/7/2017,6,292
2/7/2017,7,710
2/7/2017,8,1194
2/7/2017,9,467
2/7/2017,10,265
2/7/2017,11,309
2/7/2017,12,396
2/7/2017,13,413
2/7/2017,14,321
2/7/2017,15,462
2/7/2017,16,733
2/7/2017,17,1441
2/7/2017,18,1048
2/7/2017,19,652
2/7/2017,20,405
2/7/2017,21,308
2/7/2017,22,203
2/7/2017,23,77
2/8/2017,0,30
2/8/2017,1,17
2/8/2017,2,5
2/8/2017,3,6
2/8/2017,4,8
2/8/2017,5,98
2/8/2017,6,321
2/8/2017,7,863
2/8/2017,8,1252
2/8/2017,9,490
2/8/2017,10,267
2/8/2017,11,339
2/8/2017,12,502
2/8/2017,13,497
2/8/2017,14,455
2/8/2017,15,477
2/8/2017,16,817
2/8/2017,17,1509
2/8/2017,18,1094
2/8/2017,19,625
2/8/2017,20,418
2/8/2017,21,285
2/8/2017,22,157
2/8/2017,23,87
2/9/2017,0,23
2/9/2017,1,7
2/9/2017,2,5
2/9/2017,4,4
2/9/2017,5,35
2/9/2017,6,164
2/9/2017,7,449
2/9/2017,8,835
2/9/2017,9,413
2/9/2017,10,179
2/9/2017,11,162
2/9/2017,12,221
2/9/2017,13,191
2/9/2017,14,181
2/9/2017,15,206
2/9/2017,16,370
2/9/2017,17,669
2/9/2017,18,538
2/9/2017,19,295
2/9/2017,20,165
2/9/2017,21,135
2/9/2017,22,81
2/9/2017,23,41
2/10/2017,0,19
2/10/2017,1,10
2/10/2017,2,8
2/10/2017,3,1
2/10/2017,4,5
2/10/2017,5,34
2/10/2017,6,159
2/10/2017,7,411
2/10/2017,8,772
2/10/2017,9,394
2/10/2017,10,193
2/10/2017,11,202
2/10/2017,12,324
2/10/2017,13,287
2/10/2017,14,250
2/10/2017,15,343
2/10/2017,16,508
2/10/2017,17,746
2/10/2017,18,505
2/10/2017,19,303
2/10/2017,20,170
2/10/2017,21,131
2/10/2017,22,104
2/10/2017,23,95
2/11/2017,0,52
2/11/2017,1,47
2/11/2017,2,30
2/11/2017,3,21
2/11/2017,4,9
2/11/2017,5,7
2/11/2017,6,19
2/11/2017,7,74
2/11/2017,8,155
2/11/2017,9,289
2/11/2017,10,407
2/11/2017,11,507
2/11/2017,12,650
2/11/2017,13,622
2/11/2017,14,650
2/11/2017,15,656
2/11/2017,16,613
2/11/2017,17,566
2/11/2017,18,459
2/11/2017,19,292
2/11/2017,20,207
2/11/2017,21,215
2/11/2017,22,138
2/11/2017,23,136
2/12/2017,0,102
2/12/2017,1,91
2/12/2017,2,61
2/12/2017,3,30
2/12/2017,4,15
2/12/2017,5,10
2/12/2017,6,17
2/12/2017,7,48
2/12/2017,8,115
2/12/2017,9,196
2/12/2017,10,231
2/12/2017,11,177
2/12/2017,12,334
2/12/2017,13,386
2/12/2017,14,549
2/12/2017,15,589
2/12/2017,16,459
2/12/2017,17,375
2/12/2017,18,313
2/12/2017,19,232
2/12/2017,20,170
2/12/2017,21,116
2/12/2017,22,70
2/12/2017,23,37
2/13/2017,0,25
2/13/2017,1,9
2/13/2017,2,2
2/13/2017,3,1
2/13/2017,4,6
2/13/2017,5,50
2/13/2017,6,190
2/13/2017,7,482
2/13/2017,8,754
2/13/2017,9,354
2/13/2017,10,155
2/13/2017,11,155
2/13/2017,12,206
2/13/2017,13,208
2/13/2017,14,232
2/13/2017,15,291
2/13/2017,16,468
2/13/2017,17,893
2/13/2017,18,777
2/13/2017,19,461
2/13/2017,20,290
2/13/2017,21,193
2/13/2017,22,111
2/13/2017,23,51
2/14/2017,0,22
2/14/2017,1,10
2/14/2017,2,2
2/14/2017,3,3
2/14/2017,4,5
2/14/2017,5,65
2/14/2017,6,251
2/14/2017,7,636
2/14/2017,8,957
2/14/2017,9,435
2/14/2017,10,203
2/14/2017,11,203
2/14/2017,12,259
2/14/2017,13,237
2/14/2017,14,227
2/14/2017,15,353
2/14/2017,16,571
2/14/2017,17,1095
2/14/2017,18,828
2/14/2017,19,431
2/14/2017,20,251
2/14/2017,21,208
2/14/2017,22,114
2/14/2017,23,43
2/15/2017,0,26
2/15/2017,1,8
2/15/2017,2,8
2/15/2017,3,3
2/15/2017,4,6
2/15/2017,5,67
2/15/2017,6,259
2/15/2017,7,651
2/15/2017,8,1071
2/15/2017,9,490
2/15/2017,10,219
2/15/2017,11,258
2/15/2017,12,307
2/15/2017,13,318
2/15/2017,14,280
2/15/2017,15,320
2/15/2017,16,464
2/15/2017,17,966
2/15/2017,18,731
2/15/2017,19,432
2/15/2017,20,257
2/15/2017,21,198
2/15/2017,22,98
2/15/2017,23,48
2/16/2017,0,14
2/16/2017,1,6
2/16/2017,2,4
2/16/2017,3,3
2/16/2017,4,4
2/16/2017,5,59
2/16/2017,6,205
2/16/2017,7,584
2/16/2017,8,880
2/16/2017,9,467
2/16/2017,10,185
2/16/2017,11,226
2/16/2017,12,223
2/16/2017,13,223
2/16/2017,14,216
2/16/2017,15,270
2/16/2017,16,439
2/16/2017,17,820
2/16/2017,18,684
2/16/2017,19,327
2/16/2017,20,251
2/16/2017,21,183
2/16/2017,22,94
2/16/2017,23,60
2/17/2017,0,25
2/17/2017,1,24
2/17/2017,2,5
2/17/2017,3,1
2/17/2017,4,7
2/17/2017,5,51
2/17/2017,6,155
2/17/2017,7,451
2/17/2017,8,876
2/17/2017,9,436
2/17/2017,10,220
2/17/2017,11,260
2/17/2017,12,398
2/17/2017,13,361
2/17/2017,14,383
2/17/2017,15,471
2/17/2017,16,680
2/17/2017,17,881
2/17/2017,18,597
2/17/2017,19,395
2/17/2017,20,225
2/17/2017,21,156
2/17/2017,22,125
2/17/2017,23,99
2/18/2017,0,61
2/18/2017,1,42
2/18/2017,2,30
2/18/2017,3,15
2/18/2017,4,13
2/18/2017,5,9
2/18/2017,6,31
2/18/2017,7,70
2/18/2017,8,146
2/18/2017,9,362
2/18/2017,10,524
2/18/2017,11,785
2/18/2017,12,1016
2/18/2017,13,1095
2/18/2017,14,1303
2/18/2017,15,1256
2/18/2017,16,1217
2/18/2017,17,993
2/18/2017,18,565
2/18/2017,19,404
2/18/2017,20,243
2/18/2017,21,200
2/18/2017,22,187
2/18/2017,23,159
2/19/2017,0,126
2/19/2017,1,67
2/19/2017,2,55
2/19/2017,3,26
2/19/2017,4,8
2/19/2017,5,13
2/19/2017,6,22
2/19/2017,7,55
2/19/2017,8,170
2/19/2017,9,349
2/19/2017,10,727
2/19/2017,11,948
2/19/2017,12,1262
2/19/2017,13,1361
2/19/2017,14,1439
2/19/2017,15,1521
2/19/2017,16,1372
2/19/2017,17,1127
2/19/2017,18,610
2/19/2017,19,338
2/19/2017,20,260
2/19/2017,21,229
2/19/2017,22,158
2/19/2017,23,107
2/20/2017,0,91
2/20/2017,1,32
2/20/2017,2,11
2/20/2017,3,11
2/20/2017,4,8
2/20/2017,5,33
2/20/2017,6,50
2/20/2017,7,170
2/20/2017,8,372
2/20/2017,9,462
2/20/2017,10,606
2/20/2017,11,819
2/20/2017,12,883
2/20/2017,13,1009
2/20/2017,14,966
2/20/2017,15,971
2/20/2017,16,1020
2/20/2017,17,943
